,unix_time,bid_price,bid_volume,ask_price,ask_volume
197,1720751100,13743645.0,13,13538382,15
198,1720751400,13685320.0,10,13758600,29
199,1720751700,13571548.0,29,13513277,44
200,1720752000,13350305.0,13,13269511,69
201,1720752300,,0,13273851,44
202,1720752600,13625363.0,13,13445904,73
203,1720752900,13611966.0,20,13700948,32
204,1720753200,13572257.0,11,13478353,51
205,1720753500,13588915.0,24,13751007,54
206,1720753800,13715633.0,15,13850658,27
207,1720754100,13881610.0,12,13886015,25
208,1720754400,13805383.0,33,13870979,14
209,1720754700,13740118.0,43,13521737,35
210,1720755000,13747167.0,61,13624681,65
211,1720755300,13713232.0,27,13708646,48
212,1720755600,13787607.0,17,13818568,27
213,1720755900,13538837.0,20,13837609,20
214,1720756200,13484257.0,15,13680146,33
215,1720756500,13401000.0,4,13745884,41
216,1720756800,13523696.0,15,13717187,21
217,1720757100,13638649.0,18,13723698,34
218,1720757400,13767583.0,18,13756785,36
219,1720757700,13721742.0,25,13800897,24
220,1720758000,13616055.0,4,13624264,41
221,1720758300,13554681.0,10,13485140,25
222,1720758600,13763656.0,7,13794670,35
223,1720758900,13881610.0,5,13881262,19
224,1720759200,13785288.0,10,13835477,20
225,1720759500,13890066.0,14,13909353,22
226,1720759800,13600151.0,16,13766176,22
227,1720760100,13717127.0,10,13653980,40
228,1720760400,13675725.0,17,13700820,71
229,1720760700,13602644.0,5,13610570,30
230,1720761000,13804407.0,6,13539187,34
231,1720761300,13833752.0,11,13874191,11
232,1720761600,13892694.0,14,13889009,16
233,1720761900,13925439.0,3,13872268,9
234,1720762200,13876050.0,6,13881485,31
235,1720762500,13776000.0,5,13912531,23
236,1720762800,13723269.0,6,13904201,30
237,1720763100,13893781.0,5,13932641,32
238,1720763400,13500000.0,2,13830939,19
239,1720763700,13493757.0,7,13849613,31
240,1720764000,13340318.0,15,13761655,42
241,1720764300,14000000.0,3,13912897,21
242,1720764600,13627123.0,13,13873247,20
243,1720764900,13517594.0,16,13822537,25
244,1720765200,13526701.0,11,13475253,40
245,1720765500,13676715.0,14,13631783,41
246,1720765800,13716535.0,11,13737477,23
247,1720766100,13644051.0,14,13859380,27
248,1720766400,13721867.0,21,13838832,32
249,1720766700,13813781.0,10,13897084,14
250,1720767000,13897358.0,7,13926423,18
251,1720767300,13906266.0,19,13919411,10
252,1720767600,13927905.0,24,13904201,30
253,1720767900,13856301.0,1,13625157,36
254,1720768200,13856301.0,7,13821333,35
255,1720768500,13942521.0,5,13943628,29
256,1720768800,13765495.0,18,13840244,31
257,1720769100,13668786.0,7,13869687,14
258,1720769400,13787546.0,11,13826632,37
259,1720769700,13743832.0,16,13940565,19
260,1720770000,13625008.0,9,13641004,37
261,1720770300,13856301.0,2,13305198,44
262,1720770600,13856301.0,9,13874811,31
263,1720770900,13856301.0,9,13950949,27
264,1720771200,14000000.0,3,13869365,11
265,1720771500,13952100.0,3,14043773,11
266,1720771800,13963647.0,24,14010084,18
267,1720772100,13949706.0,20,13922893,41
268,1720772400,13923924.0,17,13947339,21
269,1720772700,13856301.0,16,13884481,45
270,1720773000,13921620.0,11,13965966,38
271,1720773300,13889078.0,8,13970269,29
272,1720773600,13822263.0,8,13888546,53
273,1720773900,13928153.0,8,13856301,6
274,1720774200,13856301.0,5,13870671,10
275,1720774500,13913673.0,11,13856301,3
276,1720774800,13601400.0,9,13870636,17
277,1720775100,13805401.0,7,13856301,30
278,1720775400,13383614.0,27,13862139,34
279,1720775700,13458467.0,9,13701366,44
280,1720776000,13837534.0,3,13700953,33
281,1720776300,13339076.0,4,13757663,30
282,1720776600,13791577.0,10,13771013,21
283,1720776900,13725931.0,7,13557160,34
284,1720777200,13701968.0,2,13319746,28
285,1720777500,13685041.0,5,13533887,49
286,1720777800,13851352.0,7,13763773,57
287,1720778100,13645418.0,4,13816191,38
288,1720778400,13431490.0,3,13319256,29
289,1720778700,13571201.0,6,13457964,46
290,1720779000,13309384.0,30,13827185,20
291,1720779300,13436760.0,53,13868400,14
292,1720779600,13288922.0,7,13880672,21
293,1720779900,13237815.0,20,13585121,34
294,1720780200,13576050.0,6,13946113,16
295,1720780500,13499653.0,17,13719124,4
296,1720780800,13473932.0,48,13928150,4
